,title,release_date,revenue,runtime,budget,original_language,genres,imdb_rating,imdb_votes
7,Finding Nemo,2003-05-30,940335536.0,100.0,94000000.0,en,"Animation, Family",8.2,1131808.0
15,My Life Without Me,2003-03-07,12300000.0,106.0,2500000.0,en,"Drama, Romance",7.4,26005.0
17,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,655011224.0,143.0,140000000.0,en,"Adventure, Fantasy, Action",8.1,1232790.0
18,Kill Bill: Vol. 1,2003-10-10,180906076.0,111.0,30000000.0,en,"Action, Crime",8.2,1217716.0
19,Jarhead,2005-11-04,97076152.0,123.0,72000000.0,en,"Drama, War",7.0,210770.0
21,9 Songs,2004-07-16,1574623.0,69.0,1000000.0,en,"Drama, Music, Romance",4.8,24311.0
24,The Simpsons Movie,2007-07-25,527068851.0,87.0,75000000.0,en,"Animation, Comedy, Family",7.3,353570.0
25,Eternal Sunshine of the Spotless Mind,2004-03-19,72258126.0,108.0,20000000.0,en,"Science Fiction, Drama, Romance",8.3,1097479.0
27,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,1065700000.0,151.0,200000000.0,en,"Adventure, Fantasy, Action",7.4,780004.0
28,A History of Violence,2005-09-23,60740827.0,96.0,32000000.0,en,"Drama, Thriller, Crime",7.4,257978.0
34,Paradise Now,2005-09-07,3395627.0,90.0,2000000.0,en,"Thriller, Crime, Drama",7.4,24251.0
36,Walk the Line,2005-09-13,186800000.0,136.0,28000000.0,en,"Drama, Music, Romance",7.8,269108.0
37,Million Dollar Baby,2004-12-15,216763646.0,132.0,30000000.0,en,Drama,8.1,730756.0
40,War of the Worlds,2005-06-28,603873119.0,117.0,132000000.0,en,"Adventure, Thriller, Science Fiction",6.5,481740.0
46,Before Sunset,2004-06-16,15992615.0,80.0,2700000.0,en,"Drama, Romance",8.1,293643.0
48,Miami Vice,2006-07-27,163800000.0,132.0,135000000.0,en,"Action, Crime, Thriller",6.1,125552.0
49,Open Water,2003-10-26,54700000.0,79.0,130000.0,en,"Drama, Thriller, Horror",5.8,57229.0
81,Match Point,2005-10-26,85306374.0,124.0,15000000.0,en,"Drama, Thriller, Crime, Romance",7.6,230576.0
83,Charlie and the Chocolate Factory,2005-07-13,475000000.0,115.0,150000000.0,en,"Adventure, Comedy, Family, Fantasy",6.7,538598.0
86,The Lord of the Rings: The Return of the King,2003-12-17,1118888979.0,201.0,94000000.0,en,"Adventure, Fantasy, Action",9.0,2017756.0
104,Brokeback Mountain,2005-10-22,178043761.0,134.0,14000000.0,en,"Drama, Romance",7.7,391048.0
114,Lost in Translation,2003-09-18,119723856.0,102.0,4000000.0,en,"Drama, Romance",7.7,500128.0
116,The Dark Knight,2008-07-16,1004558444.0,152.0,185000000.0,en,"Drama, Action, Crime, Thriller",9.0,2928359.0
124,Ocean's Twelve,2004-12-09,362744280.0,125.0,110000000.0,en,"Thriller, Crime",6.5,419467.0
137,Saw,2004-10-01,103911669.0,103.0,1200000.0,en,"Horror, Mystery, Crime",7.6,476343.0
140,The Interpreter,2005-04-08,162944923.0,128.0,80000000.0,en,"Crime, Thriller",6.4,111698.0
142,The Good German,2006-12-15,5914908.0,108.0,32000000.0,en,"Drama, Mystery",6.0,26241.0
146,Lucky Number Slevin,2006-02-24,56300000.0,110.0,27000000.0,en,"Drama, Thriller, Crime, Mystery",7.7,328738.0
147,Sin City,2005-04-01,158700000.0,124.0,40000000.0,en,"Thriller, Action, Crime",8.0,799326.0
148,Sin City: A Dame to Kill For,2014-08-20,39400000.0,102.0,65000000.0,en,"Crime, Action, Thriller",6.5,172234.0
163,Hotel Rwanda,2004-12-22,38000000.0,121.0,17500000.0,en,"Drama, History, War",8.1,377163.0
169,Saw III,2006-10-26,164876498.0,108.0,10000000.0,en,"Horror, Thriller, Crime",6.2,216151.0
170,Saw II,2005-10-28,147748505.0,93.0,4000000.0,en,Horror,6.6,281190.0
172,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,786636033.0,122.0,185000000.0,en,"Adventure, Action",6.2,496284.0
185,Syriana,2005-11-23,93974620.0,128.0,50000000.0,en,"Drama, Thriller",6.9,135221.0
191,Young Adam,2003-09-26,2500000.0,93.0,6400000.0,en,"Drama, Thriller, Crime, Romance",6.3,14809.0
208,King Kong,2005-12-12,562363449.0,187.0,207000000.0,en,"Adventure, Drama, Action",7.2,452602.0
211,Oliver Twist,2005-09-23,42580321.0,130.0,50000000.0,en,"Crime, Drama, Family",6.8,34535.0
224,Batman Begins,2005-06-10,374218673.0,140.0,150000000.0,en,"Action, Crime, Drama",8.2,1605754.0
229,Underworld,2003-09-19,95708457.0,122.0,22000000.0,en,"Fantasy, Action, Thriller",7.0,288877.0
235,Pirates of the Caribbean: At World's End,2007-05-19,961000000.0,169.0,300000000.0,en,"Adventure, Fantasy, Action",7.1,704452.0
241,Riding Giants,2004-07-09,3166000.0,105.0,2600000.0,en,Documentary,7.8,4699.0
242,Dave Chappelle's Block Party,2005-09-12,11718595.0,100.0,3000000.0,en,"Comedy, Documentary, Music",7.2,9680.0
245,Terminator 3: Rise of the Machines,2003-07-02,435000000.0,109.0,200000000.0,en,"Action, Thriller, Science Fiction",6.3,423011.0
247,Ocean's Thirteen,2007-06-05,311312624.0,122.0,85000000.0,en,"Crime, Thriller",6.9,371833.0
251,Swimming Pool,2003-05-21,22441323.0,102.0,7800000.0,en,"Crime, Thriller",6.7,49009.0
255,Broken Flowers,2005-07-31,46720491.0,106.0,10000000.0,en,"Comedy, Drama, Mystery, Romance",7.1,107523.0
257,Bruce Almighty,2003-05-23,484600000.0,101.0,80000000.0,en,"Fantasy, Comedy",6.8,440936.0
260,Snow Cake,2006-09-08,1381665.0,112.0,12000000.0,en,"Romance, Drama",7.4,13398.0
261,Catwoman,2004-07-22,82102379.0,104.0,100000000.0,en,"Action, Fantasy, Crime",3.4,127317.0
268,Mambo Italiano,2003-06-06,3031801.0,89.0,4361898.0,en,"Comedy, Romance",6.7,7003.0
269,Mystic River,2003-10-07,156800000.0,138.0,25000000.0,en,"Thriller, Crime, Drama, Mystery",7.9,493116.0
270,Snakes on a Plane,2006-08-17,62022014.0,105.0,33000000.0,en,"Action, Adventure, Crime, Horror, Thriller",5.5,145860.0
283,Everything Is Illuminated,2005-09-05,3601974.0,106.0,7000000.0,en,"Comedy, Drama",7.4,60177.0
293,The Devil Wears Prada,2006-06-29,326706115.0,109.0,35000000.0,en,"Drama, Comedy",6.9,482556.0
304,Inside Man,2006-03-17,186003591.0,129.0,45000000.0,en,"Crime, Drama, Thriller",7.6,403863.0
309,Kill Bill: Vol. 2,2004-04-16,152159461.0,136.0,30000000.0,en,"Action, Crime, Thriller",8.0,820036.0
310,AVP: Alien vs. Predator,2004-08-12,177427090.0,100.0,70000000.0,en,"Adventure, Science Fiction, Action, Horror",5.7,218435.0
313,Capote,2005-09-30,49327405.0,114.0,7000000.0,en,"Crime, Drama",7.3,142506.0
315,Garden State,2004-07-28,26781723.0,102.0,2500000.0,en,"Comedy, Drama, Romance",7.4,224651.0
325,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,745013115.0,143.0,180000000.0,en,"Adventure, Family, Fantasy",6.9,433976.0
329,The Life Aquatic with Steve Zissou,2004-12-10,34808403.0,119.0,50000000.0,en,"Adventure, Comedy, Drama",7.2,213153.0
342,The Day After Tomorrow,2004-05-26,552639571.0,124.0,125000000.0,en,"Action, Adventure, Science Fiction, Thriller",6.5,486059.0
347,Aliens vs Predator: Requiem,2007-12-25,130290885.0,94.0,40000000.0,en,"Fantasy, Action, Science Fiction, Thriller, Horror",4.6,137334.0
368,21 Grams,2003-09-06,60427839.0,124.0,20000000.0,en,"Drama, Crime, Thriller",7.6,247685.0
385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01,262552893.0,84.0,18000000.0,en,Comedy,7.4,450140.0
391,Poseidon,2006-05-10,181700000.0,98.0,160000000.0,en,"Adventure, Action, Drama, Thriller",5.7,111556.0
392,Monster,2003-12-24,60400000.0,110.0,8000000.0,en,"Crime, Drama",7.3,164552.0
396,Love Actually,2003-09-07,249600000.0,135.0,40000000.0,en,"Comedy, Romance, Drama",7.6,536878.0
400,Scoop,2006-07-27,31584901.0,96.0,4000000.0,en,"Comedy, Mystery",6.6,88349.0
412,Wallace & Gromit: The Curse of the Were-Rabbit,2005-09-04,192610372.0,85.0,30000000.0,en,"Adventure, Animation, Comedy, Family",7.5,148114.0
413,Terminator Salvation,2009-05-20,371353001.0,115.0,200000000.0,en,"Action, Science Fiction, Thriller",6.5,381294.0
424,Transamerica,2005-02-14,13350369.0,103.0,1000000.0,en,"Drama, Adventure, Comedy",7.4,42590.0
431,Dogville,2003-05-21,16690617.0,178.0,10000000.0,en,"Crime, Drama, Thriller",8.0,160870.0
435,Spider-Man 2,2004-06-25,788976453.0,127.0,200000000.0,en,"Action, Adventure, Science Fiction",7.5,724677.0
436,Spider-Man 3,2007-05-01,894983373.0,139.0,258000000.0,en,"Action, Adventure, Science Fiction",6.3,650572.0
438,Constantine,2005-02-08,230900000.0,121.0,100000000.0,en,"Fantasy, Action, Horror",7.0,381808.0
459,2 Fast 2 Furious,2003-06-05,236350661.0,108.0,76000000.0,en,"Action, Crime, Thriller",5.9,302658.0
462,Big Fish,2003-12-25,123200000.0,125.0,70000000.0,en,"Adventure, Fantasy, Drama",8.0,463415.0
463,Silent Hill,2006-04-21,100605135.0,125.0,50000000.0,en,"Horror, Mystery",6.5,247642.0
465,The Da Vinci Code,2006-05-17,767800000.0,149.0,125000000.0,en,"Thriller, Mystery",6.6,464492.0
468,The Terminal,2004-06-17,219417255.0,128.0,60000000.0,en,"Comedy, Drama",7.4,502862.0
478,The Matrix Reloaded,2003-05-15,738599701.0,138.0,150000000.0,en,"Adventure, Action, Thriller, Science Fiction",7.2,639689.0
479,The Matrix Revolutions,2003-11-05,424988211.0,129.0,150000000.0,en,"Adventure, Action, Thriller, Science Fiction",6.7,550851.0
